English name,species_code
Sunda Scops-Owl,susowl2
Japanese Scops-Owl,jasowl1
Wallace's Scops-Owl,wasowl1
Palawan Scops-Owl,pasowl2
Philippine Scops-Owl,phsowl1
Everett's Scops-Owl,evesco1
Negros Scops-Owl,negsco1
Mindoro Scops-Owl,misowl2
Moluccan Scops-Owl,mosowl1
Wetar Scops-Owl,molsco2
Rinjani Scops-Owl,rinsco1
Palau Scops-Owl,palowl2
Mantanani Scops-Owl,masowl2
Ryukyu Scops-Owl,ryusco1
Sulawesi Scops-Owl,susowl1
Banggai Scops-Owl,sulsco5
Sangihe Scops-Owl,sansco1
Siau Scops-Owl,sulsco2
Sula Scops-Owl,sulsco3
Biak Scops-Owl,biasco1
Simeulue Scops-Owl,sisowl1
Enggano Scops-Owl,ensowl1
Nicobar Scops-Owl,nicsco1
Arabian Scops-Owl,arasco1
Eurasian Scops-Owl,eursco1
Cyprus Scops-Owl,eursco3
Principe Scops-Owl,prisco1
Pemba Scops-Owl,pesowl2
Sao Tome Scops-Owl,stsowl1
African Scops-Owl,afsowl1
Pallid Scops-Owl,pasowl3
Mindanao Scops-Owl,misowl1
Luzon Scops-Owl,lusowl1
Moheli Scops-Owl,mohsco1
Comoro Scops-Owl,cosowl3
Seychelles Scops-Owl,sesowl1
Oriental Scops-Owl,orsowl
Socotra Scops-Owl,afrsco2
Anjouan Scops-Owl,ansowl2
Mayotte Scops-Owl,maysco1
Reunion Scops-Owl,reusco1
Rodrigues Scops-Owl,rodsco1
Mauritius Scops-Owl,mausco1
Madagascar Scops-Owl,madsco1
Flammulated Owl,flaowl
Puerto Rican Owl,prsowl
Bare-shanked Screech-Owl,bssowl
Whiskered Screech-Owl,whsowl1
White-throated Screech-Owl,whtsco1
Tropical Screech-Owl,trsowl
Koepcke's Screech-Owl,koesco1
Rufescent Screech-Owl,rufsco1
Cinnamon Screech-Owl,cinsco1
Cloud-forest Screech-Owl,clfsco1
Montane Forest Screech-Owl,mofsco1
Middle American Screech-Owl,vesowl
Choco Screech-Owl,versco2
Foothill Screech-Owl,foosco1
Long-tufted Screech-Owl,lotsco1
Bearded Screech-Owl,besowl
Balsas Screech-Owl,basowl
Pacific Screech-Owl,pasowl4
Western Screech-Owl,wesowl1
Eastern Screech-Owl,easowl1
Santa Marta Screech-Owl,samsco1
Peruvian Screech-Owl,persco1
Tawny-bellied Screech-Owl,tabsco1
Black-capped Screech-Owl,bkcsco1
Bare-legged Owl,balowl
Northern White-faced Owl,nwfowl1
Southern White-faced Owl,swfowl1
Crested Owl,creowl1
Maned Owl,manowl1
Spectacled Owl,speowl1
Tawny-browed Owl,tabowl1
Band-bellied Owl,babowl1
Snowy Owl,snoowl1
Great Horned Owl,grhowl
Lesser Horned Owl,grhowl2
Rock Eagle-Owl,roeowl1
Grayish Eagle-Owl,graeao1
Spotted Eagle-Owl,spoeao2
Arabian Eagle-Owl,speowl2
Cape Eagle-Owl,caeowl1
Pharaoh Eagle-Owl,pheowl1
Eurasian Eagle-Owl,eueowl1
Fraser's Eagle-Owl,fraeao1
Akun Eagle-Owl,akeowl1
Verreaux's Eagle-Owl,veeowl1
Shelley's Eagle-Owl,sheowl1
Blakiston's Fish-Owl,blfowl1
Buffy Fish-Owl,bufowl2
Brown Fish-Owl,brfowl1
Tawny Fish-Owl,tafowl1
Dusky Eagle-Owl,dueowl1
Spot-bellied Eagle-Owl,sbeowl1
Barred Eagle-Owl,baeowl1
Philippine Eagle-Owl,pheowl2
Pel's Fishing-Owl,pefowl1
Rufous Fishing-Owl,rufowl1
Vermiculated Fishing-Owl,vefowl1
Northern Hawk Owl,nohowl
Eurasian Pygmy-Owl,eupowl1
Pearl-spotted Owlet,pesowl1
Northern Pygmy-Owl,nopowl
Costa Rican Pygmy-Owl,crpowl
Cloud-forest Pygmy-Owl,clopyo1
Andean Pygmy-Owl,anpowl1
Yungas Pygmy-Owl,yupowl1
Subtropical Pygmy-Owl,supowl1
Central American Pygmy-Owl,capowl1
Tamaulipas Pygmy-Owl,tapowl1
Colima Pygmy-Owl,copowl1
Amazonian Pygmy-Owl,amapyo1
Pernambuco Pygmy-Owl,perpyo1
Least Pygmy-Owl,leapyo1
Ferruginous Pygmy-Owl,fepowl
Austral Pygmy-Owl,aupowl1
Peruvian Pygmy-Owl,pepowl1
Cuban Pygmy-Owl,cupowl1
Red-chested Owlet,recowl1
Sjöstedt's Owlet,sjoowl1
Asian Barred Owlet,asbowl1
Javan Owlet,javowl1
Jungle Owlet,junowl1
Chestnut-backed Owlet,chbowl1
African Barred Owlet,afbowl1
Albertine Owlet,albowl1
Collared Owlet,colowl1
Sunda Owlet,colowl3
Elf Owl,elfowl
Long-whiskered Owlet,lowowl1
Spotted Owlet,spoowl1
Little Owl,litowl1
Forest Owlet,forowl1
West Solomons Owl,solboo1
Guadalcanal Owl,solboo2
Malaita Owl,solboo3
Makira Owl,solboo4
White-browed Owl,whbowl1
Burrowing Owl,burowl
Mottled Owl,motowl
Black-and-white Owl,bawowl1
Black-banded Owl,bkbowl1
Rufous-banded Owl,rubowl3
Spotted Wood-Owl,spwowl1
Mottled Wood-Owl,mowowl1
Brown Wood-Owl,brwowl1
Tawny Owl,tawowl1
Maghreb Owl,tawowl3
Himalayan Owl,himowl1
Desert Owl,humowl1
Omani Owl,omaowl1
Spotted Owl,spoowl
Barred Owl,brdowl
Cinereous Owl,barowl13
Fulvous Owl,fulowl1
Rusty-barred Owl,rubowl2
Rufous-legged Owl,rulowl1
Chaco Owl,chaowl1
Ural Owl,uraowl1
Great Gray Owl,grgowl
African Wood-Owl,afwowl1
Jamaican Owl,jamowl1
Long-eared Owl,loeowl
Abyssinian Owl,aleowl1
Madagascar Owl,mleowl1
Striped Owl,strowl1
Stygian Owl,styowl1
Short-eared Owl,sheowl
Marsh Owl,marowl2
Fearful Owl,feaowl1
Boreal Owl,borowl
Northern Saw-whet Owl,nswowl
Bermuda Saw-whet Owl,bswowl1
Unspotted Saw-whet Owl,uswowl1
Buff-fronted Owl,bufowl1
Rufous Owl,rufowl2
Powerful Owl,powowl1
Barking Owl,barowl1
Sumba Boobook,sumboo1
Andaman Boobook,andhao1
Australian Boobook,souboo8
Rote Boobook,souboo4
Timor Boobook,souboo5
Alor Boobook,souboo6
Tasmanian Boobook,souboo3
Morepork,morepo2
Laughing Owl,lauowl1
Least Boobook,lishao1
Brown Boobook,brnhao1
Hume's Boobook,brnhao3
Northern Boobook,norboo1
Chocolate Boobook,choboo1
Luzon Boobook,phihao1
Mindanao Boobook,minboo1
Mindoro Boobook,minboo2
Romblon Boobook,romboo1
Cebu Boobook,cebboo1
Camiguin Boobook,camboo1
Sulu Boobook,sulboo1
Ochre-bellied Boobook,ocbhao1
Togian Boobook,toghao1
Cinnabar Boobook,cinhao1
Halmahera Boobook,molhao3
Tanimbar Boobook,molhao2
Seram Boobook,hanboo2
Buru Boobook,hanboo1
Christmas Island Boobook,chihao1
Papuan Boobook,junhao1
Manus Boobook,manhao1
Speckled Boobook,spehao1
Bismarck Boobook,bishao1
New Britain Boobook,nebhao1
Papuan Owl,paphao1
Speckled Mousebird,spemou2
White-headed Mousebird,whhmou1
Red-backed Mousebird,rebmou1
White-backed Mousebird,whbmou1
Blue-naped Mousebird,blnmou1
Red-faced Mousebird,refmou1
Cuckoo-roller,cuckoo1
Narina Trogon,nartro1
Bare-cheeked Trogon,bactro1
Bar-tailed Trogon,battro1
Javan Trogon,javtro1
Sumatran Trogon,sumtro1
Orange-breasted Trogon,orbtro2
Malabar Trogon,maltro1
Red-naped Trogon,rentro1
Diard's Trogon,diatro1
Philippine Trogon,phitro1
Whitehead's Trogon,whitro1
Cinnamon-rumped Trogon,cirtro1
Scarlet-rumped Trogon,scrtro1
Red-headed Trogon,rehtro1
Ward's Trogon,wartro1
Eared Quetzal,earque
Pavonine Quetzal,pavque1
Golden-headed Quetzal,gohque1
Resplendent Quetzal,resque1
White-tipped Quetzal,whtque1
Crested Quetzal,creque1
Cuban Trogon,cubtro1
Hispaniolan Trogon,histro1
Lattice-tailed Trogon,lattro1
Slaty-tailed Trogon,slttro1
Blue-tailed Trogon,buttro1
Ecuadorian Trogon,bkttro2
Black-tailed Trogon,blttro1
Black-headed Trogon,blhtro1
Citreoline Trogon,cittro1
White-tailed Trogon,whttro1
Green-backed Trogon,gnbtro1
Baird's Trogon,baitro1
Gartered Trogon,gartro1
Guianan Trogon,viotro2
Amazonian Trogon,viotro3
Blue-crowned Trogon,blctro1
Surucua Trogon,surtro1
Northern Black-throated Trogon,bkttro7
Choco Black-throated Trogon,bkttro5
Amazonian Black-throated Trogon,bkttro6
Atlantic Black-throated Trogon,bkttro4
Elegant Trogon,eletro
Mountain Trogon,moutro1
Collared Trogon,coltro1
Masked Trogon,mastro1
Eurasian Hoopoe,hoopoe
Madagascar Hoopoe,madhoo1
St. Helena Hoopoe,sthhoo1
Green Woodhoopoe,grewoo2
Violet Woodhoopoe,viowoo1
Black-billed Woodhoopoe,blbwoo2
White-headed Woodhoopoe,whhwoo1
Forest Scimitarbill,forwoo1
Black Scimitarbill,blsbil1
Common Scimitarbill,cosbil1
Abyssinian Scimitarbill,absbil1
Abyssinian Ground-Hornbill,noghor1
Southern Ground-Hornbill,soghor1
Red-billed Dwarf Hornbill,rbdhor1
Crowned Hornbill,crohor1
Bradfield's Hornbill,brahor1
West African Pied Hornbill,afphor2
Congo Pied Hornbill,afphor3
Hemprich's Hornbill,hemhor1
African Gray Hornbill,afghor1
Pale-billed Hornbill,pabhor1
Eastern Yellow-billed Hornbill,eybhor1
Southern Yellow-billed Hornbill,sybhor1
Jackson's Hornbill,jachor1
Von der Decken's Hornbill,vddhor1
Monteiro's Hornbill,monhor1
Southern Red-billed Hornbill,srbhor1
Damara Red-billed Hornbill,drbhor1
Tanzanian Red-billed Hornbill,trbhor1
Western Red-billed Hornbill,wrbhor2
Northern Red-billed Hornbill,rebhor1
White-crowned Hornbill,whchor2
Western Long-tailed Hornbill,whchor1
Eastern Long-tailed Hornbill,whchor4
Western Dwarf Hornbill,bkdhor1
Eastern Dwarf Hornbill,bkdhor2
Yellow-casqued Hornbill,yechor1
Black-casqued Hornbill,blchor1
Silvery-cheeked Hornbill,sichor1
Black-and-white-casqued Hornbill,bawhor2
Brown-cheeked Hornbill,bnchor1
White-thighed Hornbill,whthor1
Trumpeter Hornbill,truhor1
Piping Hornbill,piphor1
Helmeted Hornbill,helhor1
Rufous Hornbill,rufhor1
Rhinoceros Hornbill,rhihor1
Great Hornbill,grehor1
Bushy-crested Hornbill,buchor1
Brown Hornbill,brnhor1
Rusty-cheeked Hornbill,ruchor1
Indian Gray Hornbill,inghor2
Malabar Gray Hornbill,maghor2
Sri Lanka Gray Hornbill,ceghor1
Black Hornbill,blahor1
Sulu Hornbill,sulhor2
Malabar Pied-Hornbill,maphor1
Oriental Pied-Hornbill,orphor1
Palawan Hornbill,palhor1
Rufous-necked Hornbill,runhor1
Knobbed Hornbill,knohor1
Sumba Hornbill,sumhor1
Wreathed Hornbill,wrehor1
Plain-pouched Hornbill,plphor1
Narcondam Hornbill,narhor1
Blyth's Hornbill,blyhor1
Sulawesi Hornbill,sulhor1
Wrinkled Hornbill,wrihor1
Writhe-billed Hornbill,wrbhor1
Writhed Hornbill,wrihor2
Visayan Hornbill,tarhor1
Luzon Hornbill,luzhor1
Mindoro Hornbill,minhor2
Samar Hornbill,samhor1
Mindanao Hornbill,minhor1
Red-bearded Bee-eater,rbbeat1
Blue-bearded Bee-eater,bbbeat1
Purple-bearded Bee-eater,pbbeat1
Black Bee-eater,blbeat1
Blue-moustached Bee-eater,bumbee1
Blue-headed Bee-eater,bhbeat2
Red-throated Bee-eater,rtbeat1
White-fronted Bee-eater,wfbeat1
Little Bee-eater,libeat1
Blue-breasted Bee-eater,bbbeat2
Ethiopian Bee-eater,bubbee2
Cinnamon-chested Bee-eater,ccbeat1
Swallow-tailed Bee-eater,stbeat1
Black-headed Bee-eater,bhbeat1
Somali Bee-eater,sobeat1
White-throated Bee-eater,wtbeat1
African Green Bee-eater,grnbee1
Arabian Green Bee-eater,grnbee2
Asian Green Bee-eater,grnbee3
Böhm's Bee-eater,bobeat1
Blue-throated Bee-eater,btbeat2
Rufous-crowned Bee-eater,rucbee1
Blue-cheeked Bee-eater,bcbeat1
Olive Bee-eater,mabeat1
Blue-tailed Bee-eater,btbeat1
Rainbow Bee-eater,rabeat1
European Bee-eater,eubeat1
Chestnut-headed Bee-eater,chbeat1
Rosy Bee-eater,robeat1
Northern Carmine Bee-eater,ncbeat1
Southern Carmine Bee-eater,scbeat1
Cuban Tody,cubtod1
Broad-billed Tody,brbtod1
Narrow-billed Tody,nabtod1
Jamaican Tody,jamtod1
Puerto Rican Tody,purtod1
Tody Motmot,todmot1
Blue-throated Motmot,bltmot1
Russet-crowned Motmot,rucmot1
Blue-capped Motmot,bucmot1
Lesson's Motmot,bucmot2
Whooping Motmot,bucmot3
Trinidad Motmot,trimot1
Amazonian Motmot,bucmot4
Andean Motmot,higmot1
Rufous Motmot,rufmot1
Rufous-capped Motmot,rucmot2
Keel-billed Motmot,kebmot1
Broad-billed Motmot,brbmot1
Turquoise-browed Motmot,tubmot1
Blyth's Kingfisher,blykin1
Common Kingfisher,comkin1
Half-collared Kingfisher,hackin1
Shining-blue Kingfisher,shbkin1
Blue-eared Kingfisher,blekin1
Malaysian Blue-banded Kingfisher,bubkin1
Javan Blue-banded Kingfisher,bubkin2
Small Blue Kingfisher,smbkin1
Azure Kingfisher,azukin1
Bismarck Kingfisher,biskin1
Indigo-banded Kingfisher,inbkin2
Northern Silvery-Kingfisher,norsik1
Southern Silvery-Kingfisher,silkin1
Little Kingfisher,litkin1
Black-backed Dwarf-Kingfisher,bkbkin1
Rufous-backed Dwarf-Kingfisher,rubkin1
Philippine Dwarf-Kingfisher,phikin1
Sangihe Dwarf-Kingfisher,suldwk1
Sulawesi Dwarf-Kingfisher,sulkin1
Dimorphic Dwarf-Kingfisher,vardwk1
Sula Dwarf-Kingfisher,vardwk2
Moluccan Dwarf-Kingfisher,varkin1
Buru Dwarf-Kingfisher,vardwk5
Papuan Dwarf-Kingfisher,vardwk6
Manus Dwarf-Kingfisher,vardwk7
New Ireland Dwarf-Kingfisher,vardwk8
New Britain Dwarf-Kingfisher,vardwk9
New Georgia Dwarf-Kingfisher,vardwk11
North Solomons Dwarf-Kingfisher,nosdwk1
Guadalcanal Dwarf-Kingfisher,guadwk1
Makira Dwarf-Kingfisher,vardwk15
Malachite Kingfisher,malkin1
Malagasy Kingfisher,malkin2
White-bellied Kingfisher,whbkin1
Madagascar Pygmy Kingfisher,mapkin1
African Pygmy Kingfisher,afpkin1
African Dwarf Kingfisher,dwakin1
Banded Kingfisher,bankin1
Laughing Kookaburra,laukoo1
Blue-winged Kookaburra,blwkoo1
Spangled Kookaburra,spakoo1
Rufous-bellied Kookaburra,rubkoo1
Shovel-billed Kookaburra,shbkoo1
Sangihe Lilac Kingfisher,lickin1
Sulawesi Lilac Kingfisher,lickin2
Brown-winged Kingfisher,bnwkin1
Stork-billed Kingfisher,stbkin1
Great-billed Kingfisher,blbkin1
Ruddy Kingfisher,rudkin1
Chocolate-backed Kingfisher,chbkin2
White-throated Kingfisher,whtkin2
Brown-breasted Kingfisher,bnbkin1
Gray-headed Kingfisher,gyhkin1
Black-capped Kingfisher,blckin1
Javan Kingfisher,javkin1
Woodland Kingfisher,wookin1
Mangrove Kingfisher,mankin2
Blue-breasted Kingfisher,blbkin4
Brown-hooded Kingfisher,brhkin1
Striped Kingfisher,strkin1
Blue-black Kingfisher,blbkin3
Rufous-lored Kingfisher,rulkin1
Blue-and-white Kingfisher,bawkin1
Lazuli Kingfisher,lazkin1
Red-backed Kingfisher,rebkin2
Forest Kingfisher,forkin1
New Britain Kingfisher,nebkin1
Ultramarine Kingfisher,ultkin1
Vanuatu Kingfisher,chbkin1
Marquesan Kingfisher,markin2
Mewing Kingfisher,mankin1
Society Kingfisher,tahkin1
Tuamotu Kingfisher,tuakin2
Chattering Kingfisher,chakin2
Pacific Kingfisher,packin1
Palau Kingfisher,mickin4
Guam Kingfisher,mickin1
Pohnpei Kingfisher,mickin5
Flat-billed Kingfisher,flbkin1
Colonist Kingfisher,colkin17
Torresian Kingfisher,colkin9
Sacred Kingfisher,sackin1
Collared Kingfisher,colkin1
Beach Kingfisher,beakin2
Mariana Kingfisher,colkin2
Melanesian Kingfisher,melkin1
Sombre Kingfisher,somkin1
Talaud Kingfisher,talkin1
Cinnamon-banded Kingfisher,cibkin1
White-rumped Kingfisher,whrkin1
Hook-billed Kingfisher,hobkin1
Moustached Kingfisher,moukin2
Rufous-collared Kingfisher,ruckin1
Spotted Kingfisher,spokin1
Blue-capped Kingfisher,blckin2
Green-backed Kingfisher,grbkin1
Scaly-breasted Kingfisher,scakin1
Yellow-billed Kingfisher,yebkin1
Mountain Kingfisher,moukin1
Little Paradise-Kingfisher,lipkin1
Common Paradise-Kingfisher,copkin1
Kofiau Paradise-Kingfisher,kopkin1
Biak Paradise-Kingfisher,bipkin1
Numfor Paradise-Kingfisher,nupkin1
Red-breasted Paradise-Kingfisher,rbpkin1
Brown-headed Paradise-Kingfisher,bhpkin1
Buff-breasted Paradise-Kingfisher,bubpak1
Black-capped Paradise-Kingfisher,bubpak2
Giant Kingfisher,giakin3
Crested Kingfisher,crekin1
Ringed Kingfisher,rinkin1
Belted Kingfisher,belkin1
Pied Kingfisher,piekin1
Amazon Kingfisher,amakin1
American Pygmy Kingfisher,ampkin1
Green Kingfisher,grnkin
Green-and-rufous Kingfisher,garkin1
European Roller,eurrol1
Abyssinian Roller,abyrol2
Lilac-breasted Roller,librol2
Racket-tailed Roller,ratrol2
Purple Roller,rucrol2
Indian Roller,indrol2
Indochinese Roller,indrol3
Purple-winged Roller,puwrol1
Blue-bellied Roller,blbrol1
Broad-billed Roller,brbrol1
Blue-throated Roller,bltrol1
Dollarbird,dollar1
Azure Roller,purrol1
Scaly Ground-Roller,scagrr1
Short-legged Ground-Roller,slgrol1
Long-tailed Ground-Roller,ltgrol1
Pitta-like Ground-Roller,plgrol1
Rufous-headed Ground-Roller,rhgrol1
White-necked Puffbird,whnpuf2
Guianan Puffbird,guipuf1
Buff-bellied Puffbird,bubpuf1
Black-breasted Puffbird,blbpuf1
Brown-banded Puffbird,brbpuf1
Pied Puffbird,piepuf1
Chestnut-capped Puffbird,chcpuf1
Spotted Puffbird,spopuf1
Sooty-capped Puffbird,socpuf1
Collared Puffbird,colpuf1
Barred Puffbird,barpuf1
Western Striolated-Puffbird,wespuf1
Eastern Striolated-Puffbird,strpuf1
White-eared Puffbird,whepuf1
Spot-backed Puffbird,spbpuf1
Russet-throated Puffbird,rutpuf1
Two-banded Puffbird,rutpuf3
White-chested Puffbird,whcpuf1
Semicollared Puffbird,sempuf1
Crescent-chested Puffbird,crcpuf1
Rufous-necked Puffbird,runpuf1
White-whiskered Puffbird,whwpuf1
Black-streaked Puffbird,blspuf1
Moustached Puffbird,moupuf1
Lanceolated Monklet,lanmon1
Rusty-breasted Nunlet,rubnun1
Fulvous-chinned Nunlet,fucnun1
Brown Nunlet,bronun1
Gray-cheeked Nunlet,gycnun1
Rufous-capped Nunlet,rucnun1
Chestnut-headed Nunlet,chhnun1
White-faced Nunbird,whfnun2
Black Nunbird,blanun1
Black-fronted Nunbird,blfnun1
White-fronted Nunbird,whfnun1
Yellow-billed Nunbird,yebnun1
Swallow-winged Puffbird,swwpuf1
White-eared Jacamar,whejac1
Purus Jacamar,purjac2
White-throated Jacamar,whtjac1
Brown Jacamar,brojac2
Pale-headed Jacamar,pahjac1
Dusky-backed Jacamar,dubjac1
Three-toed Jacamar,thtjac1
Yellow-billed Jacamar,yebjac1
Blue-cheeked Jacamar,bucjac1
Rufous-tailed Jacamar,rutjac1
Green-tailed Jacamar,grtjac1
White-chinned Jacamar,whcjac1
Bluish-fronted Jacamar,blfjac1
Coppery-chested Jacamar,cocjac2
Purplish Jacamar,purjac1
Bronzy Jacamar,brojac1
Paradise Jacamar,parjac1
Great Jacamar,grejac2
Western Yellow-billed Barbet,yebbar1
Eastern Yellow-billed Barbet,yebbar5
Crested Barbet,crebar1
Red-and-yellow Barbet,raybar1
Yellow-breasted Barbet,yebbar2
D'Arnaud's Barbet,darbar1
Green Barbet,grebar2
Gray-throated Barbet,gytbar1
Sladen's Barbet,slabar1
Bristle-nosed Barbet,brnbar1
Naked-faced Barbet,nafbar1
White-eared Barbet,whebar1
Whyte's Barbet,whybar1
Anchieta's Barbet,ancbar1
Speckled Tinkerbird,spetin1
Green Tinkerbird,gretin2
Moustached Tinkerbird,moutin1
Western Tinkerbird,westin1
Red-rumped Tinkerbird,rertin1
Yellow-throated Tinkerbird,yettin1
Yellow-rumped Tinkerbird,yertin1
Northern Red-fronted Tinkerbird,reftin1
Southern Red-fronted Tinkerbird,reftin4
Yellow-fronted Tinkerbird,yeftin1
Yellow-spotted Barbet,yesbar1
Hairy-breasted Barbet,habbar1
Red-fronted Barbet,refbar2
Miombo Barbet,miobar1
Pied Barbet,piebar1
Spot-flanked Barbet,spfbar1
Black-throated Barbet,bltbar1
Banded Barbet,banbar1
Vieillot's Barbet,viebar1
White-headed Barbet,whhbar1
Chaplin's Barbet,chabar1
Red-faced Barbet,refbar1
Black-billed Barbet,blbbar3
Black-collared Barbet,blcbar1
Brown-breasted Barbet,brbbar1
Black-backed Barbet,blbbar1
Double-toothed Barbet,dotbar1
Bearded Barbet,beabar1
Black-breasted Barbet,blbbar4
Sooty Barbet,soobar2
Brown Barbet,brnbar2
Malabar Barbet,crfbar1
Crimson-fronted Barbet,crfbar3
Coppersmith Barbet,copbar1
Blue-eared Barbet,buebar1
Black-eared Barbet,buebar2
Yellow-eared Barbet,litbar1
Bornean Barbet,borbar1
Fire-tufted Barbet,fitbar1
Great Barbet,grebar1
Red-vented Barbet,revbar1
Red-crowned Barbet,recbar1
Red-throated Barbet,retbar1
Black-banded Barbet,blbbar2
Golden-naped Barbet,gonbar1
Yellow-crowned Barbet,yecbar1
Flame-fronted Barbet,flfbar1
Green-eared Barbet,grebar3
Lineated Barbet,linbar1
Brown-headed Barbet,brhbar1
White-cheeked Barbet,whcbar1
Yellow-fronted Barbet,yefbar1
Golden-throated Barbet,gotbar2
Necklaced Barbet,gotbar3
Mountain Barbet,moubar1
Brown-throated Barbet,brtbar1
Gold-whiskered Barbet,gowbar2
Moustached Barbet,moubar2
Taiwan Barbet,taibar2
Chinese Barbet,chibar1
Blue-throated Barbet,bltbar2
Indochinese Barbet,indbar1
Black-browed Barbet,blbbar5
Turquoise-throated Barbet,tutbar1
Scarlet-crowned Barbet,sccbar1
Black-girdled Barbet,blgbar1
Spot-crowned Barbet,spcbar1
Orange-fronted Barbet,orfbar1
White-mantled Barbet,whmbar1
Scarlet-banded Barbet,scbbar2
Sira Barbet,sirbar1
Five-colored Barbet,ficbar1
Brown-chested Barbet,brcbar1
Black-spotted Barbet,blsbar1
Gilded Barbet,gilbar1
Lemon-throated Barbet,letbar1
Scarlet-hooded Barbet,schbar1
Red-headed Barbet,rehbar1
Versicolored Barbet,verbar1
Prong-billed Barbet,prbbar1
Toucan Barbet,toubar1
Northern Emerald-Toucanet,noremt1
Southern Emerald-Toucanet,souemt1
Groove-billed Toucanet,grbtou1
Chestnut-tipped Toucanet,chttou3
Tepui Toucanet,chttou2
Crimson-rumped Toucanet,crrtou1
Yellow-browed Toucanet,yebtou1
Blue-banded Toucanet,blbtou1
Gray-breasted Mountain-Toucan,gybmot1
Plate-billed Mountain-Toucan,pbmtou1
Hooded Mountain-Toucan,homtou1
Black-billed Mountain-Toucan,bbmtou1
Saffron Toucanet,saftou2
Green Aracari,greara1
Lettered Aracari,letara1
Collared Aracari,colara1
Fiery-billed Aracari,fibara1
Black-necked Aracari,blnara1
Chestnut-eared Aracari,cheara1
Many-banded Aracari,mabara1
Ivory-billed Aracari,ivbara1
Curl-crested Aracari,cucara1
Red-necked Aracari,renara1
Yellow-eared Toucanet,yeetou1
Guianan Toucanet,guitou1
Golden-collared Toucanet,goctou1
Tawny-tufted Toucanet,tattou1
Gould's Toucanet,goutou1
Spot-billed Toucanet,spbtou1
Toco Toucan,toctou1
Yellow-throated Toucan,bkmtou1
White-throated Toucan,whttou1
Keel-billed Toucan,kebtou1
Choco Toucan,chotou1
Channel-billed Toucan,chbtou1
Red-breasted Toucan,rebtou2
Cassin's Honeybird,cashon1
Green-backed Honeybird,grbhon2
Brown-backed Honeybird,wahhon1
Zenker's Honeyguide,zenhon1
Yellow-footed Honeyguide,yefhon2
Dwarf Honeyguide,dwahon1
Willcocks's Honeyguide,wilhon2
Pallid Honeyguide,palhon1
Least Honeyguide,leahon2
Lesser Honeyguide,y00400
Spotted Honeyguide,spohon2
Scaly-throated Honeyguide,scthon1
Yellow-rumped Honeyguide,yerhon1
Malaysian Honeyguide,malhon1
Greater Honeyguide,grehon2
Lyre-tailed Honeyguide,lython1
Eurasian Wryneck,eurwry
Red-throated Wryneck,runwry1
Speckled Piculet,spepic1
Bar-breasted Piculet,babpic1
Orinoco Piculet,oripic1
Lafresnaye's Piculet,lafpic1
Golden-spangled Piculet,gospic1
Ecuadorian Piculet,ecupic1
Scaled Piculet,scapic1
White-bellied Piculet,whbpic2
Arrowhead Piculet,arrpic1
Spotted Piculet,spopic1
Speckle-chested Piculet,spcpic1
Varzea Piculet,varpic1
White-barred Piculet,whbpic1
Ocellated Piculet,ocepic2
Ochre-collared Piculet,occpic1
White-wedged Piculet,whwpic1
Rusty-necked Piculet,runpic1
Rufous-breasted Piculet,rubpic1
Ochraceous Piculet,ochpic1
Mottled Piculet,motpic1
Plain-breasted Piculet,plbpic1
Fine-barred Piculet,fibpic1
Olivaceous Piculet,olipic1
Grayish Piculet,grapic1
Chestnut Piculet,chepic1
African Piculet,afrpic1
Rufous Piculet,rufpic1
White-browed Piculet,whbpic3
Antillean Piculet,antpic1
Gray-and-buff Woodpecker,gabwoo3
Heart-spotted Woodpecker,heswoo1
Williamson's Sapsucker,wilsap
Yellow-bellied Sapsucker,yebsap
Red-naped Sapsucker,rensap
Red-breasted Sapsucker,rebsap
Cuban Green Woodpecker,cugwoo1
White Woodpecker,whiwoo1
Lewis's Woodpecker,lewwoo
Guadeloupe Woodpecker,guawoo1
Puerto Rican Woodpecker,purwoo1
Red-headed Woodpecker,rehwoo
Acorn Woodpecker,acowoo
Golden-naped Woodpecker,gonwoo1
Yellow-tufted Woodpecker,yetwoo2
Yellow-fronted Woodpecker,yefwoo1
Beautiful Woodpecker,beawoo2
Black-cheeked Woodpecker,blcwoo1
White-fronted Woodpecker,whfwoo1
Hispaniolan Woodpecker,hiswoo1
Jamaican Woodpecker,jamwoo1
Golden-cheeked Woodpecker,gocwoo1
Gray-breasted Woodpecker,grbwoo1
Yucatan Woodpecker,yucwoo
Red-crowned Woodpecker,recwoo1
Gila Woodpecker,gilwoo
Hoffmann's Woodpecker,hofwoo1
Golden-fronted Woodpecker,gofwoo
Red-bellied Woodpecker,rebwoo
West Indian Woodpecker,weiwoo1
Eurasian Three-toed Woodpecker,ettwoo1
American Three-toed Woodpecker,attwoo1
Black-backed Woodpecker,bkbwoo
Sulawesi Pygmy Woodpecker,sulwoo2
Philippine Pygmy Woodpecker,phiwoo1
Sulu Pygmy Woodpecker,phiwoo3
Brown-capped Pygmy Woodpecker,bncwoo3
Sunda Pygmy Woodpecker,bncwoo2
Gray-capped Pygmy Woodpecker,gycwoo1
Japanese Pygmy Woodpecker,pygwoo1
Yellow-crowned Woodpecker,yecwoo1
Middle Spotted Woodpecker,miswoo1
Brown-fronted Woodpecker,brfwoo1
Arabian Woodpecker,arawoo1
Fire-bellied Woodpecker,fibwoo1
