English name,species_code
Stejneger's Scoter,whwsco1
Common Scoter,blksco1
Black Scoter,blksco2
Long-tailed Duck,lotduc
Bufflehead,buffle
Common Goldeneye,comgol
Barrow's Goldeneye,bargol
Smew,smew
Hooded Merganser,hoomer
Auckland Islands Merganser,auimer1
Common Merganser,commer
Brazilian Merganser,bramer1
Red-breasted Merganser,rebmer
Scaly-sided Merganser,scsmer1
Black-headed Duck,blhduc1
Masked Duck,masduc
Ruddy Duck,rudduc
Andean Duck,andduc1
White-headed Duck,whhduc1
Maccoa Duck,macduc1
Lake Duck,lakduc1
Blue-billed Duck,blbduc1
Musk Duck,musduc1
Australian Brushturkey,ausbrt1
Wattled Brushturkey,watbrt1
Waigeo Brushturkey,brubrt1
Red-billed Brushturkey,rebbrt1
Yellow-legged Brushturkey,bkbbrt1
Red-legged Brushturkey,bncbrt1
Malleefowl,mallee1
Maleo,maleo1
Moluccan Megapode,molscr1
Tongan Megapode,niuscr1
Micronesian Megapode,micscr1
Nicobar Megapode,nicscr1
Philippine Megapode,tabscr1
Sula Megapode,sulscr1
Tanimbar Megapode,tanscr1
Dusky Megapode,dusscr1
Biak Megapode,dusscr3
Melanesian Megapode,melscr1
Vanuatu Megapode,vanscr1
New Guinea Megapode,negscr1
Orange-footed Megapode,orfscr1
Plain Chachalaca,placha
Gray-headed Chachalaca,grhcha1
Chestnut-winged Chachalaca,chwcha1
Rufous-vented Chachalaca,ruvcha1
Rufous-headed Chachalaca,ruhcha1
Rufous-bellied Chachalaca,rubcha1
West Mexican Chachalaca,wemcha1
Chaco Chachalaca,chacha1
White-bellied Chachalaca,whbcha1
Colombian Chachalaca,colcha1
Speckled Chachalaca,specha3
East Brazilian Chachalaca,specha2
Scaled Chachalaca,specha4
Variable Chachalaca,varcha1
Chestnut-headed Chachalaca,varcha3
Buff-browed Chachalaca,bubcha1
Band-tailed Guan,batgua1
Bearded Guan,beagua1
Baudo Guan,baugua1
Andean Guan,andgua1
Marail Guan,margua1
Rusty-margined Guan,rumgua1
Red-faced Guan,refgua1
Spix's Guan,spigua1
Crested Guan,cregua1
Cauca Guan,caugua1
White-winged Guan,whwgua1
Dusky-legged Guan,dulgua1
Yungas Guan,dulgua3
White-crested Guan,whcgua1
Chestnut-bellied Guan,chbgua1
White-browed Guan,whbgua1
Trinidad Piping-Guan,trpgua1
Blue-throated Piping-Guan,butpig1
White-throated Piping-Guan,butpig2
Red-throated Piping-Guan,rtpgua1
Black-fronted Piping-Guan,bfpgua1
Wattled Guan,watgua1
Black Guan,blagua1
Sickle-winged Guan,siwgua1
Highland Guan,higgua1
Horned Guan,horgua1
Nocturnal Curassow,noccur1
Crestless Curassow,crecur2
Salvin's Curassow,salcur1
Razor-billed Curassow,rabcur2
Alagoas Curassow,alacur1
Helmeted Curassow,helcur1
Sira Curassow,horcur2
Horned Curassow,horcur3
Great Curassow,grecur1
Blue-billed Curassow,bubcur1
Yellow-knobbed Curassow,yekcur1
Black Curassow,blacur1
Wattled Curassow,watcur1
Bare-faced Curassow,bafcur1
Red-billed Curassow,rebcur1
Helmeted Guineafowl,helgui
White-breasted Guineafowl,whbgui1
Black Guineafowl,blagui1
Vulturine Guineafowl,vulgui1
Plumed Guineafowl,plugui1
Eastern Crested Guineafowl,cregui3
Western Crested Guineafowl,cregui2
Southern Crested Guineafowl,cregui4
Stone Partridge,stopar1
Nahan's Partridge,nahfra2
Tawny-faced Quail,tafqua1
Mountain Quail,mouqua
Buffy-crowned Wood-Partridge,bcwpar1
Long-tailed Wood-Partridge,ltwpar1
Bearded Wood-Partridge,bewpar1
Banded Quail,banqua1
Northern Bobwhite,norbob
Black-throated Bobwhite,bltbob1
Spot-bellied Bobwhite,crebob2
Crested Bobwhite,crebob1
Scaled Quail,scaqua
Elegant Quail,elequa
California Quail,calqua
Gambel's Quail,gamqua
Montezuma Quail,monqua
Ocellated Quail,ocequa1
Singing Quail,sinqua1
Marbled Wood-Quail,mawqua1
Spot-winged Wood-Quail,swwqua1
Black-eared Wood-Quail,bewqua1
Black-fronted Wood-Quail,bfwqua1
Rufous-fronted Wood-Quail,rfwqua1
Chestnut Wood-Quail,chwqua1
Dark-backed Wood-Quail,dbwqua1
Rufous-breasted Wood-Quail,rbwqua1
Tacarcuna Wood-Quail,tawqua1
Gorgeted Wood-Quail,gowqua1
Venezuelan Wood-Quail,venwoq1
Black-breasted Wood-Quail,bbwqua1
Stripe-faced Wood-Quail,sfwqua1
Starred Wood-Quail,stwqua1
Spotted Wood-Quail,spwqua1
Udzungwa Partridge,udzpar1
Ferruginous Partridge,ferpar2
Crested Partridge,crepar1
Black Partridge,blapar2
Hill Partridge,hilpar1
Sichuan Partridge,sicpar1
Chestnut-breasted Partridge,chbpar2
White-necklaced Partridge,whnpar2
Rufous-throated Partridge,rutpar1
Red-billed Partridge,rebpar3
Chestnut-headed Partridge,chhpar1
Hainan Partridge,haipar1
Taiwan Partridge,taipar1
White-cheeked Partridge,whcpar1
Bar-backed Partridge,babpar1
Orange-necked Partridge,ornpar1
Red-breasted Partridge,rebpar5
Malayan Partridge,gybpar3
Roll's Partridge,gybpar5
Sumatran Partridge,gybpar6
Chestnut-bellied Partridge,chbpar1
Gray-breasted Partridge,gybpar4
Snow Partridge,snopar1
Blood Pheasant,blophe1
Western Tragopan,westra1
Satyr Tragopan,sattra1
Blyth's Tragopan,blytra1
Temminck's Tragopan,temtra1
Cabot's Tragopan,cabtra1
Chestnut-throated Monal-Partridge,verpar1
Buff-throated Monal-Partridge,szepar1
Himalayan Monal,himmon1
Sclater's Monal,sclmon1
Chinese Monal,chimon1
Koklass Pheasant,kokphe1
Wild Turkey,wiltur
Ocellated Turkey,ocetur1
Ruffed Grouse,rufgro
Hazel Grouse,hazgro1
Chinese Grouse,sevgro1
Greater Sage-Grouse,saggro
Gunnison Sage-Grouse,gusgro
Dusky Grouse,dusgro
Sooty Grouse,soogro1
Sharp-tailed Grouse,shtgro
Greater Prairie-Chicken,grpchi
Lesser Prairie-Chicken,lepchi
White-tailed Ptarmigan,whtpta1
Willow Ptarmigan,wilpta
Rock Ptarmigan,rocpta1
Siberian Grouse,sibgro2
Spruce Grouse,sprgro
Western Capercaillie,wescap1
Black-billed Capercaillie,blbcap1
Black Grouse,blagro1
Caucasian Grouse,caugro1
Long-billed Partridge,lobpar3
Dulit Partridge,lobpar2
Tibetan Partridge,tibpar1
Gray Partridge,grypar
Daurian Partridge,daupar1
Copper Pheasant,copphe1
Reeves's Pheasant,reephe1
Mikado Pheasant,mikphe1
Elliot's Pheasant,ellphe1
Mrs. Hume's Pheasant,humphe1
Golden Pheasant,golphe
Lady Amherst's Pheasant,laaphe1
Ring-necked Pheasant,rinphe1
Green Pheasant,rinphe2
Cheer Pheasant,chephe1
Tibetan Eared-Pheasant,whieap2
White Eared-Pheasant,whieap1
Brown Eared-Pheasant,brephe1
Blue Eared-Pheasant,blephe1
Edwards's Pheasant,edwphe1
Swinhoe's Pheasant,swiphe1
Bulwer's Pheasant,bulphe1
Kalij Pheasant,kalphe
Silver Pheasant,silphe
Malayan Crestless Fireback,crefir5
Bornean Crestless Fireback,crefir6
Siamese Fireback,siafir1
Salvadori's Pheasant,salphe1
Malayan Crested Fireback,crefir3
Bornean Crested Fireback,crefir4
Vietnamese Crested Argus,crearg1
Malayan Crested Argus,crearg3
Great Argus,grearg1
Congo Peacock,conpea1
Indian Peafowl,compea
Green Peafowl,grepea1
Scaly-breasted Partridge,scbpar1
Chestnut-necklaced Partridge,chnpar1
Sabah Partridge,chnpar3
Crimson-headed Partridge,crhpar1
Red Spurfowl,redspu1
Painted Spurfowl,paispu1
Sri Lanka Spurfowl,ceyspu1
Palawan Peacock-Pheasant,palpep1
Bornean Peacock-Pheasant,bopphe1
Malayan Peacock-Pheasant,mapphe1
Germain's Peacock-Pheasant,gepphe1
Hainan Peacock-Pheasant,grypep3
Gray Peacock-Pheasant,grypep2
Mountain Peacock-Pheasant,mopphe1
Bronze-tailed Peacock-Pheasant,btpphe1
Mountain Bamboo-Partridge,mobpar1
Chinese Bamboo-Partridge,chbpar3
Taiwan Bamboo-Partridge,taibap1
Green Junglefowl,grejun1
Red Junglefowl,redjun
Gray Junglefowl,grejun2
Sri Lanka Junglefowl,ceyjun1
Latham's Francolin,forfra2
Crested Francolin,crefra2
Gray Francolin,gryfra
Swamp Francolin,swafra1
Chinese Francolin,chifra1
Black Francolin,blkfra
Painted Francolin,paifra1
Coqui Francolin,coqfra2
White-throated Francolin,whtfra2
Schlegel's Francolin,schfra2
Ring-necked Francolin,rinfra2
Red-winged Francolin,rewfra2
Finsch's Francolin,finfra2
Moorland Francolin,moofra2
Elgon Francolin,moofra3
Gray-winged Francolin,gywfra1
Orange River Francolin,orrfra2
Shelley's Francolin,shefra1
Whyte's Francolin,shefra3
Tibetan Snowcock,tibsno1
Altai Snowcock,altsno1
Caucasian Snowcock,causno1
Caspian Snowcock,cassno1
Himalayan Snowcock,himsno
See-see Partridge,sespar1
Sand Partridge,sanpar1
Brown Quail,broqua1
Snow Mountain Quail,snmqua2
Blue-breasted Quail,blbqua1
Blue Quail,bluqua1
Madagascar Partridge,madpar2
Common Quail,comqua1
Japanese Quail,japqua
Harlequin Quail,harqua1
Rain Quail,raiqua1
Stubble Quail,stuqua1
New Zealand Quail,nezqua1
Barbary Partridge,barpar2
Arabian Partridge,arapar1
Red-legged Partridge,relpar1
Chukar,chukar
Rock Partridge,rocpar2
Philby's Partridge,phipar1
Przevalski's Partridge,przpar1
Jungle Bush-Quail,jubqua1
Rock Bush-Quail,robqua1
Painted Bush-Quail,pabqua1
Manipur Bush-Quail,mabqua1
Himalayan Quail,himqua1
Hartlaub's Spurfowl,harfra3
Mount Cameroon Spurfowl,camfra2
Handsome Spurfowl,hanfra2
Chestnut-naped Spurfowl,chnfra2
Erckel's Spurfowl,ercfra
Djibouti Spurfowl,djifra1
Swierstra's Spurfowl,swifra2
Ahanta Spurfowl,ahafra2
Gray-striped Spurfowl,gysfra1
Jackson's Spurfowl,jacfra2
Red-billed Spurfowl,rebfra1
Cape Spurfowl,capfra2
Natal Spurfowl,natfra2
Hildebrandt's Spurfowl,hilfra2
Double-spurred Spurfowl,dosfra2
Scaly Spurfowl,scafra2
Heuglin's Spurfowl,heufra1
Clapperton's Spurfowl,clafra1
